Repository;Ontology;CreationDate;Format;Filename;Done;OQUARE.xml;OQUARE.ttl;HURON_long.tsv;HURON_wide.tsv;HURON.ttl;FILE_OK;IRIOquare;IRIHuron;IRI_OK;OK;Length;URL
data.bioontology.org;SOIL-PROF;20210406;SKOS;soil-prof-20210406-skos__soil-profile.ttl;T;F;F;T;T;T;F;;http://anzsoil.org/def/au/asls/soil-profile;F;F;551691;https://data.bioontology.org/ontologies/SOIL-PROF/submissions/3
data.bioontology.org;SSE;20130717;OWL;sse-20130717-owl__sse-p.owl;T;T;T;T;T;T;T;http://www.mskcc.org/ontologies/2013/03/sae.owl;http://www.mskcc.org/ontologies/2013/03/sae.owl;T;T;425024;https://data.bioontology.org/ontologies/SSE/submissions/2
data.bioontology.org;SSN;20170711;OWL;ssn-20170711-owl__ssn.owl;T;T;T;T;T;T;T;http://www.w3.org/ns/ssn/;http://www.w3.org/ns/ssn/;T;T;53909;https://data.bioontology.org/ontologies/SSN/submissions/2
data.bioontology.org;STATO;20180906;OWL;stato-20180906-owl__stato.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/stato.owl;http://purl.obolibrary.org/obo/stato.owl;T;T;1967804;https://data.bioontology.org/ontologies/STATO/submissions/12
data.bioontology.org;STY;20240131;UMLS;sty-20240131-umls__umls-semantictypes.ttl;T;T;T;T;T;T;T;file:///home/jredondo/tfm/production/2-metrics/ttl/data.bioontology.org/--;;F;F;32566;https://data.bioontology.org/ontologies/STY/submissions/22
data.bioontology.org;SUGARBIND;20230622;OWL;sugarbind-20230622-owl__SugarBindOntology.owl;T;T;T;T;T;T;T;http://rdf.glycoinfo.org/SugarBind/ontology#;http://rdf.glycoinfo.org/SugarBind/ontology#;F;F;17464;https://data.bioontology.org/ontologies/SUGARBIND/submissions/1
data.bioontology.org;SWEET;20220714;OWL;sweet-20220714-owl__sweetAll.owl;T;T;T;T;T;T;T;http://sweetontology.net/sweetAll;http://sweetontology.net/sweetAll;T;T;22451;https://data.bioontology.org/ontologies/SWEET/submissions/13
data.bioontology.org;SWO;20230305;OWL;swo-20230305-owl__swo.owl;T;T;F;T;T;T;F;;http://www.ebi.ac.uk/swo/swo/releases/2023-03-05/swo.owl;F;F;3132540;https://data.bioontology.org/ontologies/SWO/submissions/32
data.bioontology.org;SYMP;20240209;OWL;symp-20240209-owl__symp.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/symp/releases/2024-02-09/symp.owl;http://purl.obolibrary.org/obo/symp/releases/2024-02-09/symp.owl;T;T;831649;https://data.bioontology.org/ontologies/SYMP/submissions/34
data.bioontology.org;T4FS;20240508;OWL;t4fs-20240508-owl__t4fs.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl;http://purl.obolibrary.org/obo/t4fs/releases/2023-03-02/t4fs.owl;T;T;824414;https://data.bioontology.org/ontologies/T4FS/submissions/1
data.bioontology.org;TAO;20130822;OBO;tao-20130822-obo__tao.obo;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/tao-20130822-obo__tao.obo;http://purl.obolibrary.org/obo/tao/2012-08-10/tao.owl;T;T;903285;https://data.bioontology.org/ontologies/TAO/submissions/135
data.bioontology.org;TAXRANK;20160415;OBO;taxrank-20160415-obo__taxrank.owl;T;F;F;T;T;T;F;;http://purl.obolibrary.org/obo/taxrank/releases/2016-04-15/taxrank.owl;F;F;60225;https://data.bioontology.org/ontologies/TAXRANK/submissions/9
data.bioontology.org;TGMA;20150820;OBO;tgma-20150820-obo__tgma.obo;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/tgma-20150820-obo__tgma.obo;http://purl.obolibrary.org/obo/tgma/releases/2013-06-03/tgma.owl;T;T;970910;https://data.bioontology.org/ontologies/TGMA/submissions/17
data.bioontology.org;THREE-ST;20230713;OWL;three-st-20230713-owl__3ST-v1.0.1-with-individuals.owl;T;T;T;T;T;T;T;http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST;http://www.semanticweb.org/vhapalmeerwe/ontologies/3ST;T;T;9515878;https://data.bioontology.org/ontologies/THREE-ST/submissions/4
