ontologyAcronym,metricAcronym,result
CASO,TMOnto,3.846154E-2
CASO,TMOnto2,2.0E0
CASO,WMCOnto,1.941176E0
CASO,WMCOnto2,1.058824E0
CDAO,ANOnto,8.30303E-1
CDAO,APWND,1.0E0
CDAO,APWNN,1.0E0
CDAO,APWNS,1.0E0
CDAO,AROnto,2.481212E1
CDAO,CBOOnto,1.190476E0
CDAO,CROnto,4.848485E-2
CDAO,CWND,9.541985E-1
CDAO,CWNN,0.0E0
CDAO,CWNS,1.0E0
CDAO,DITOnto,9.0E0
CDAO,DPWND,1.0E0
CDAO,DPWNN,0.0E0
CDAO,DPWNS,1.0E0
CDAO,DxC,4.580153E-2
CDAO,DxDP,0.0E0
CDAO,DxOP,1.470588E-2
CDAO,DxP,1.041667E-2
CDAO,INROnto,1.060606E0
CDAO,LCOMOnto,3.655462E0
CDAO,LRClassPCT,0.0E0
CDAO,LRsxC,0.0E0
CDAO,LSLD,NaN
CDAO,NACOnto,1.100917E0
CDAO,NLR,0.0E0
CDAO,NLRC,0.0E0
CDAO,NOCOnto,3.125E0
CDAO,NOMOnto,2.50303E0
CDAO,NxC,1.0E0
CDAO,NxDP,1.0E0
CDAO,NxOP,1.0E0
CDAO,NxP,8.020833E-1
CDAO,OPWND,9.855072E-1
CDAO,OPWNN,0.0E0
CDAO,OPWNS,1.0E0
CDAO,POnto,6.727273E-1
CDAO,PROnto,7.02381E-1
CDAO,RFCOnto,3.563636E0
CDAO,RROnto,2.97619E-1
CDAO,SYSNAM,NaN
CDAO,SxAP,0.0E0
CDAO,SxC,0.0E0
CDAO,SxDP,0.0E0
CDAO,SxOP,0.0E0
CDAO,SxP,0.0E0
CDAO,TMOnto,3.04878E-2
CDAO,TMOnto2,2.0E0
CDAO,WMCOnto,3.990826E0
CDAO,WMCOnto2,1.091743E0
CDNO,ANOnto,1.324272E0
CDNO,APWND,9.583333E-1
CDNO,APWNN,9.166667E-1
CDNO,APWNS,1.0E0
CDNO,AROnto,1.512767E2
CDNO,CBOOnto,1.060353E0
CDNO,CROnto,2.572816E-2
CDNO,CWND,8.141246E-2
CDNO,CWNN,0.0E0
CDNO,CWNS,8.288377E-2
CDNO,DITOnto,1.2E1
CDNO,DPWND,NaN
CDNO,DPWNN,NaN
CDNO,DPWNS,NaN
CDNO,DxC,9.215302E-1
CDNO,DxDP,NaN
CDNO,DxOP,9.879518E-1
CDNO,DxP,6.450382E-1
CDNO,INROnto,1.049029E0
CDNO,LCOMOnto,6.83777E0
CDNO,LRClassPCT,9.80873E-4
CDNO,LRsxC,4.904365E-3
CDNO,LSLD,1.0E0
CDNO,NACOnto,1.047769E0
CDNO,NLR,1.0E1
CDNO,NLRC,2.0E0
CDNO,NOCOnto,4.607676E0
CDNO,NOMOnto,2.363107E0
CDNO,NxC,1.335459E0
CDNO,NxDP,NaN
CDNO,NxOP,1.271084E0
CDNO,NxP,8.435115E-1
CDNO,OPWND,1.506024E-1
CDNO,OPWNN,0.0E0
CDNO,OPWNS,7.168675E-1
CDNO,POnto,1.03835E0
CDNO,PROnto,6.925594E-1
CDNO,RFCOnto,3.412136E0
CDNO,RROnto,3.074406E-1
CDNO,SYSNAM,4.997541E-1
CDNO,SxAP,0.0E0
CDNO,SxC,3.294262E0
CDNO,SxDP,NaN
CDNO,SxOP,4.036145E-1
CDNO,SxP,2.557252E-1
CDNO,TMOnto,4.565323E-2
CDNO,TMOnto2,2.085106E0
CDNO,WMCOnto,8.556882E0
CDNO,WMCOnto2,1.251414E0
CVO,ANOnto,0.0E0
CVO,APWND,1.0E0
CVO,APWNN,1.0E0
CVO,APWNS,1.0E0
CVO,AROnto,0.0E0
CVO,CBOOnto,2.0E0
CVO,CROnto,5.053333E2
CVO,CWND,1.0E0
CVO,CWNN,1.0E0
CVO,CWNS,1.0E0
CVO,DITOnto,2.0E0
CVO,DPWND,NaN
CVO,DPWNN,NaN
CVO,DPWNS,NaN
CVO,DxC,0.0E0
CVO,DxDP,NaN
CVO,DxOP,NaN
CVO,DxP,0.0E0
CVO,INROnto,6.666667E-1
CVO,LCOMOnto,1.0E0
CVO,LRClassPCT,0.0E0
CVO,LRsxC,0.0E0
CVO,LSLD,NaN
CVO,NACOnto,1.0E0
CVO,NLR,0.0E0
CVO,NLRC,0.0E0
CVO,NOCOnto,2.0E0
CVO,NOMOnto,0.0E0
CVO,NxC,0.0E0
CVO,NxDP,NaN
CVO,NxOP,NaN
CVO,NxP,0.0E0
CVO,OPWND,NaN
CVO,OPWNN,NaN
CVO,OPWNS,NaN
CVO,POnto,0.0E0
CVO,PROnto,0.0E0
CVO,RFCOnto,6.666667E-1
CVO,RROnto,1.0E0
CVO,SYSNAM,NaN
CVO,SxAP,0.0E0
CVO,SxC,0.0E0
CVO,SxDP,NaN
CVO,SxOP,NaN
CVO,SxP,0.0E0
CVO,TMOnto,0.0E0
CVO,TMOnto2,0.0E0
CVO,WMCOnto,1.0E0
CVO,WMCOnto2,1.0E0
DSW,ANOnto,1.578947E0
DSW,APWND,1.0E0
DSW,APWNN,1.0E0
DSW,APWNS,1.0E0
DSW,AROnto,7.368421E0
DSW,CBOOnto,2.571429E0
DSW,CROnto,0.0E0
DSW,CWND,7.142857E-2
DSW,CWNN,0.0E0
DSW,CWNS,1.0E0
DSW,DITOnto,4.0E0
DSW,DPWND,0.0E0
DSW,DPWNN,0.0E0
DSW,DPWNS,1.0E0
DSW,DxC,1.642857E0
DSW,DxDP,NaN
DSW,DxOP,2.333333E0
DSW,DxP,1.580645E0
DSW,INROnto,9.473684E-1
DSW,LCOMOnto,1.4375E0
DSW,LRClassPCT,3.571429E-1
DSW,LRsxC,5.0E-1
DSW,LSLD,1.0E0
DSW,NACOnto,1.0E0
DSW,NLR,7.0E0
DSW,NLRC,5.0E0
DSW,NOCOnto,6.0E0
DSW,NOMOnto,5.526316E0
DSW,NxC,1.0E0
DSW,NxDP,NaN
DSW,NxOP,1.0E0
DSW,NxP,6.774194E-1
DSW,OPWND,8.0E-2
DSW,OPWNN,0.0E0
DSW,OPWNS,1.0E0
DSW,POnto,3.157895E-1
DSW,PROnto,8.536585E-1
DSW,RFCOnto,6.473684E0
DSW,RROnto,1.463415E-1
DSW,SYSNAM,5.0E-1
DSW,SxAP,0.0E0
DSW,SxC,0.0E0
DSW,SxDP,NaN
DSW,SxOP,0.0E0
DSW,SxP,0.0E0
DSW,TMOnto,0.0E0
DSW,TMOnto2,0.0E0
DSW,WMCOnto,1.4375E0
DSW,WMCOnto2,1.0E0
EDAM,ANOnto,1.157168E0
EDAM,APWND,9.714286E-1
EDAM,APWNN,6.857143E-1
EDAM,APWNS,9.142857E-1
EDAM,AROnto,3.958549E0
EDAM,CBOOnto,1.298645E0
EDAM,CROnto,0.0E0
EDAM,CWND,8.080808E-1
EDAM,CWNN,2.886003E-4
EDAM,CWNS,6.989899E-1
EDAM,DITOnto,1.0E1
EDAM,DPWND,NaN
EDAM,DPWNN,NaN
EDAM,DPWNS,NaN
EDAM,DxC,2.037518E-1
EDAM,DxDP,NaN
EDAM,DxOP,1.0E0
EDAM,DxP,1.829268E-1
EDAM,INROnto,1.296776E0
EDAM,LCOMOnto,3.951376E0
EDAM,LRClassPCT,2.886003E-4
EDAM,LRsxC,2.886003E-4
EDAM,LSLD,1.457143E-1
EDAM,NACOnto,1.310247E0
EDAM,NLR,1.0E0
EDAM,NLRC,1.0E0
EDAM,NOCOnto,6.995342E0
EDAM,NOMOnto,1.827864E-1
EDAM,NxC,9.997114E-1
EDAM,NxDP,NaN
EDAM,NxOP,1.0E0
EDAM,NxP,4.146341E-1
EDAM,OPWND,0.0E0
EDAM,OPWNN,0.0E0
EDAM,OPWNS,3.333333E-1
EDAM,POnto,1.309154E0
EDAM,PROnto,1.235409E-1
EDAM,RFCOnto,1.479562E0
EDAM,RROnto,8.764591E-1
EDAM,SYSNAM,1.0E0
EDAM,SxAP,1.285714E-1
EDAM,SxC,7.728716E-1
EDAM,SxDP,NaN
EDAM,SxOP,7.5E-1
EDAM,SxP,2.195122E-1
EDAM,TMOnto,2.775698E-1
EDAM,TMOnto2,2.120332E0
EDAM,WMCOnto,6.087633E0
EDAM,WMCOnto2,1.540636E0
EFO,ANOnto,1.034003E0
EFO,APWND,8.875E-1
EFO,APWNN,7.0E-1
EFO,APWNS,1.0E0
EFO,AROnto,7.484473E1
EFO,CBOOnto,1.462279E0
EFO,CROnto,0.0E0
EFO,CWND,1.529613E-1
EFO,CWNN,0.0E0
EFO,CWNS,4.011812E-1
EFO,DITOnto,2.1E1
EFO,DPWND,6.666667E-1
EFO,DPWNN,0.0E0
EFO,DPWNS,1.0E0
EFO,DxC,9.309997E-1
EFO,DxDP,3.333333E-1
EFO,DxOP,3.6E-1
EFO,DxP,2.382979E-1
EFO,INROnto,1.293469E0
EFO,LCOMOnto,8.935248E0
EFO,LRClassPCT,6.173602E-5
EFO,LRsxC,2.057867E-4
EFO,LSLD,4.241767E-1
EFO,NACOnto,1.247168E0
EFO,NLR,1.0E1
EFO,NLRC,3.0E0
EFO,NOCOnto,8.819412E0
EFO,NOMOnto,3.580166E-1
EFO,NxC,1.007285E0
EFO,NxDP,1.0E0
EFO,NxOP,1.093333E0
EFO,NxP,5.462185E-1
EFO,OPWND,6.794872E-1
EFO,OPWNN,5.128205E-2
EFO,OPWNS,9.358974E-1
EFO,POnto,1.29569E0
EFO,PROnto,2.167846E-1
EFO,RFCOnto,1.651485E0
EFO,RROnto,7.832154E-1
EFO,SYSNAM,8.938096E-1
EFO,SxAP,0.0E0
EFO,SxC,2.753077E0
EFO,SxDP,0.0E0
EFO,SxOP,6.666667E-2
EFO,SxP,2.12766E-2
EFO,TMOnto,2.084099E-1
