ontologyAcronym,metricAcronym,result
AO,TMOnto2,0.0E0
AO,WMCOnto,3.0E0
AO,WMCOnto2,1.0E0
APO,ANOnto,1.026239E0
APO,APWND,8.529412E-1
APO,APWNN,6.470588E-1
APO,APWNS,1.0E0
APO,AROnto,0.0E0
APO,CBOOnto,1.120915E0
APO,CROnto,2.915452E-3
APO,CWND,1.165049E-1
APO,CWNN,0.0E0
APO,CWNS,8.608414E-1
APO,DITOnto,9.0E0
APO,DPWND,NaN
APO,DPWNN,NaN
APO,DPWNS,NaN
APO,DxAP,1.470588E-1
APO,DxAP,3.529412E-1
APO,DxC,8.899676E-1
APO,DxDP,NaN
APO,DxOP,NaN
APO,DxP,3.529412E-1
APO,DxP,1.470588E-1
APO,INROnto,1.0E0
APO,LCOMOnto,3.922222E0
APO,LRClassPCT,0.0E0
APO,LRsxC,9.708738E-3
APO,LSLD,NaN
APO,NACOnto,1.003717E0
APO,NLR,3.0E0
APO,NLRC,0.0E0
APO,NOCOnto,4.635135E0
APO,NOMOnto,0.0E0
APO,NxC,1.0E0
APO,NxDP,NaN
APO,NxOP,NaN
APO,OPWND,NaN
APO,OPWNN,NaN
APO,OPWNS,NaN
APO,POnto,8.921283E-1
APO,PROnto,0.0E0
APO,RFCOnto,1.0E0
APO,RROnto,1.0E0
APO,SYSNAM,NaN
APO,SxAP,0.0E0
APO,SxC,1.521036E-1
APO,SxC,0.0E0
APO,SxDP,NaN
APO,SxOP,NaN
APO,TMOnto,2.923977E-3
APO,TMOnto2,2.0E0
APO,WMCOnto,3.936803E0
APO,WMCOnto2,1.003717E0
APOLLO-SV,APWND,6.298701E-1
APOLLO-SV,APWNN,4.220779E-1
APOLLO-SV,APWNS,9.74026E-1
APOLLO-SV,CWND,3.922942E-1
APOLLO-SV,CWNN,5.837712E-4
APOLLO-SV,CWNS,7.057793E-1
APOLLO-SV,DPWND,8.0E-1
APOLLO-SV,DPWNN,0.0E0
APOLLO-SV,DPWNS,1.0E0
APOLLO-SV,DxAP,7.272727E-1
APOLLO-SV,DxAP,4.480519E-1
APOLLO-SV,DxC,7.759627E-1
APOLLO-SV,DxDP,2.0E-1
APOLLO-SV,DxOP,1.005076E0
APOLLO-SV,DxP,9.634831E-1
APOLLO-SV,DxP,7.52809E-1
APOLLO-SV,LRClassPCT,0.0E0
APOLLO-SV,LRsxC,0.0E0
APOLLO-SV,LSLD,NaN
APOLLO-SV,NLR,0.0E0
APOLLO-SV,NLRC,0.0E0
APOLLO-SV,NxC,1.018086E0
APOLLO-SV,NxDP,1.0E0
APOLLO-SV,NxOP,1.147208E0
APOLLO-SV,OPWND,2.318182E-1
APOLLO-SV,OPWNN,2.272727E-2
APOLLO-SV,OPWNS,7.590909E-1
APOLLO-SV,SYSNAM,NaN
APOLLO-SV,SxAP,2.597403E-2
APOLLO-SV,SxC,7.252042E-1
APOLLO-SV,SxC,2.61236E-1
APOLLO-SV,SxDP,0.0E0
APOLLO-SV,SxOP,4.517766E-1
ARCRC,APWND,1.0E0
ARCRC,APWNN,8.181818E-1
ARCRC,APWNS,1.0E0
ARCRC,CWND,1.730769E-1
ARCRC,CWNN,0.0E0
ARCRC,CWNS,8.076923E-1
ARCRC,DPWND,NaN
ARCRC,DPWNN,NaN
ARCRC,DPWNS,NaN
ARCRC,DxAP,1.818182E-1
ARCRC,DxAP,0.0E0
ARCRC,DxC,1.365385E0
ARCRC,DxDP,NaN
ARCRC,DxOP,6.666667E-1
ARCRC,DxP,3.571429E-1
ARCRC,DxP,1.428571E-1
ARCRC,LRClassPCT,0.0E0
ARCRC,LRsxC,3.076923E-1
ARCRC,LSLD,NaN
ARCRC,NLR,1.6E1
ARCRC,NLRC,0.0E0
ARCRC,NxC,1.0E0
ARCRC,NxDP,NaN
ARCRC,NxOP,1.0E0
ARCRC,OPWND,3.333333E-1
ARCRC,OPWNN,0.0E0
ARCRC,OPWNS,1.0E0
ARCRC,SYSNAM,NaN
ARCRC,SxAP,0.0E0
ARCRC,SxC,1.923077E-1
ARCRC,SxC,0.0E0
ARCRC,SxDP,NaN
ARCRC,SxOP,0.0E0
ARO,ANOnto,9.998605E-1
ARO,APWND,1.0E0
ARO,APWNN,4.615385E-1
ARO,APWNS,1.0E0
ARO,AROnto,1.099847E1
ARO,CBOOnto,1.011437E0
ARO,CROnto,0.0E0
ARO,CWND,0.0E0
ARO,CWNN,0.0E0
ARO,CWNS,2.253835E-1
ARO,DITOnto,1.0E1
ARO,DPWND,NaN
ARO,DPWNN,NaN
ARO,DPWNS,NaN
ARO,DxAP,0.0E0
ARO,DxAP,5.384615E-1
ARO,DxC,1.0E0
ARO,DxDP,NaN
ARO,DxOP,0.0E0
ARO,DxP,7.5E-1
ARO,DxP,0.0E0
ARO,INROnto,1.011295E0
ARO,LCOMOnto,6.783522E0
ARO,LRClassPCT,0.0E0
ARO,LRsxC,0.0E0
ARO,LSLD,NaN
ARO,NACOnto,1.008614E0
ARO,NLR,0.0E0
ARO,NLRC,0.0E0
ARO,NOCOnto,8.039911E0
ARO,NOMOnto,8.683587E-1
ARO,NxC,1.0E0
ARO,NxDP,NaN
ARO,NxOP,1.0E0
ARO,OPWND,1.0E0
ARO,OPWNN,0.0E0
ARO,OPWNS,1.0E0
ARO,POnto,1.0152E0
ARO,PROnto,4.619779E-1
ARO,RFCOnto,1.879654E0
ARO,RROnto,5.380221E-1
ARO,SYSNAM,NaN
ARO,SxAP,0.0E0
ARO,SxC,9.291492E-1
ARO,SxC,0.0E0
ARO,SxDP,NaN
ARO,SxOP,0.0E0
ARO,TMOnto,1.464435E-2
ARO,TMOnto2,2.057143E0
ARO,WMCOnto,7.15792E0
ARO,WMCOnto2,1.055192E0
ATC,ANOnto,0.0E0
ATC,APWND,7.142857E-1
ATC,APWNN,7.142857E-1
ATC,APWNS,1.0E0
ATC,AROnto,4.998824E0
ATC,CBOOnto,1.002209E0
ATC,CROnto,9.991183E-1
ATC,CWND,1.0E0
ATC,CWNN,0.0E0
