"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"THREE-ST",0.9795918,1,1,1,0,1.021277,173.1429,1,0,1,5,0,0,0.9795918,3.5,0.0625,1.270833,1,61,3,4.363636,0,1,0,0.9387755,0,0.9795918,1,0,0,0,0,0,3.5,1
"TTO",0.9997933,1,0.3703704,1,0,1.001682,0,0.9998706,0,0.347412,20,0.0001293996,0,0.9999742,16.72443,0,0,1,0,0,6.771344,0,1,0.6296296,0.998269,0,0.9999742,1,0,1.550492,0,0,0,16.72443,1
"UO",1.699825,1,1,1,1.99651,1.042032,0.4799302,0.2902098,0,0.4965035,7,0.7097902,0,1.038394,4.102564,0.001748252,0.006993007,1.054878,4,1,2.428571,0.2862129,1,0,1.031414,0.2160738,1.324607,0.7839262,0,0.75,0,0.03671329,2,4.390244,1.070122
"VANDF",0,0.7142857,0.7142857,1,21.99625,234.2519,0.9998045,1,0,0.6793234,9,0,1,0.9999674,1.010966,0,0,1,0,0,652.9149,21.87722,1,0.8214286,0.004073253,0.9562897,22.87718,0.04371025,0,0.3344632,0,0,0,1.010966,1
"VARIO",1,1,0.625,1,22.95363,1.024242,0.002016129,0.008080808,0,0.9111111,11,0.9959596,0.4210526,1.022177,6.235294,0.004040404,0.01818182,1.02907,9,2,3.335526,0.08266129,1,0.7105263,1.020161,0.07481752,1.104839,0.9251825,0,0.1131313,0,0.02424242,2,6.47093,1.037791
"VBO",1.005639,0.584,0.456,0.992,27.06671,2.8131,0.0115444,0.9902416,5.33248e-05,0.007252173,38,0.01231737,0.6939655,1.90823,20.82346,0,0.0001599659,1.986723,3,0,18.62357,0.8421557,0.9998934,0.8017241,1.905517,0.3061955,3.647923,0.6938045,0.008,1.598752,0.2241379,0.8283145,2.096538,79.40709,3.813348
"VICO",1.250352,0.7361111,0.4444444,1,49.4571,1.711268,0.1772152,0.3892807,0,0.7771509,20,0.7746479,0.4969697,1.019691,8.459144,0.002816901,0.007042254,1.016327,5,2,3.280543,2.434599,1.001408,1.006061,0.9957806,0.7048046,4.14346,0.2951954,0,0.7464789,0.0969697,0.01408451,2,8.873469,1.04898
"VIO",1.037037,0.5681818,0.3409091,1,26.2963,1.5,0,0.1392405,0,0.8987342,11,0.975,0.6111111,0.9753086,6.487805,0.0125,0.025,1,2,1,1.975,3.012346,1.0125,1.144444,0.962963,0.755418,4.493827,0.244582,0,0.1125,0.1111111,0,0,6.487805,1
"VSAO",1.022222,1,0.4074074,1,14.95238,1.227612,0,0.07692308,0,0.6300366,11,1.054945,0.0952381,1.044444,5.710744,0.007326007,0.007326007,1.05,2,2,3.463158,0.6222222,1,0.7380952,0.8952381,0.3733333,1.666667,0.6266667,0,0.6666667,0,0.04458599,2.071429,6.281818,1.1
"VT",1.014925,1,0.6521739,1,2.999228,1.197046,0.000257334,0.0005275653,0,0.5790029,16,1.027961,0,1.167782,8.795957,0,0.001318913,1.164198,5,0,3.116758,0.0007720021,1,0.4,1.147452,0.0006606474,1.168554,0.9993394,0,0.8965972,0,0.1619048,2.063593,19.33663,2.198354
"VTO",1.000597,1,0.4827586,1,0,1.001821,0,0.9997011,0,0.6210749,40,0.0002988811,0,0.9999907,22.46446,0,0,1,0,0,4.678473,0,1,0.5172414,0.9981633,0,0.9999907,1,0,0.970308,0,0,0,22.46446,1
"WB-BT",1.023489,0.8709677,0.7903226,1,124.9826,1.276545,0.0001389854,0.04169131,0,0.7550266,11,0.9840331,0.6906077,1.199722,4.546057,0.0001478415,0.0001478415,1.190367,1,1,13.17863,1.020431,1,0.7900552,1.139541,0.4596219,2.220153,0.5403781,0,0.3599941,0.2707182,0.1541562,2.296664,6.399235,1.407645
"WB-LS",1.006658,1,0.5454545,1,7.989348,8.511111,0.001331558,0.006684492,0,0.03877005,8,1.006684,0,1.019973,1.471622,0,0.01336898,1.015385,10,0,21.27778,1.808256,1,0.52,0.1398136,0.6393597,2.828229,0.3606403,0,1.029412,0,0.02,2.066667,1.523077,1.034965
"WIKIPATHWAYS",0.7352941,1,1,1,12.41176,1.375,0.02941176,0.2727273,0.2424242,1,5,0.7272727,0.6,0.9705882,2.269231,0.03030303,0.09090909,1,3,1,4.125,1.441176,0.7575758,0.6285714,0.6764706,0.597561,2.411765,0.402439,0,0,0,0,0,2.269231,1
"XAO",1.001126,0.8918919,0.4864865,1,7.995495,1.041715,0.0005630631,0,0,0.4968153,12,1.001737,0.1428571,1.012387,5.360635,0,0,1.012903,0,0,7.955752,2.916667,1,0.5714286,0.9842342,0.742333,3.929054,0.257667,0,0.790967,0,0.01295775,2,5.447097,1.016129
"XCO",1.002183,1,0.5454545,1,5.995633,1.289811,0.000727802,0.01906158,0,0.3357771,10,0.9846041,0,1.243814,5.447507,0,0.001466276,1.288136,2,0,3.974419,0.1084425,1,0.52,1.212518,0.08019376,1.352256,0.9198062,0,1.48607,0,0.2075747,2.2,9.838983,1.806144
"XLMOD",1.013599,1,0.7931034,1,17.98368,1.060219,0.0009066183,0,0,0.5694823,7,1.015441,0.3555556,1.05349,3.604093,0,0,1.054054,0,0,17.34328,1.661831,1,0.4888889,1.047144,0.61202,2.715322,0.38798,0,0.6212534,0,0.0508167,2.071429,3.910232,1.084942
"ZECO",1,0.9767442,0.744186,1,2.981481,1.068323,0,0.2546584,0,0.9627329,9,0.7453416,0.08695652,1.061728,5.508333,0,0.01863354,1.070707,3,0,2.730159,0.04938272,1,0.3478261,1.055556,0.04444444,1.111111,0.9555556,0,0.04347826,0.04347826,0.06832298,2,6.676768,1.212121
"ZFA",1.028741,0.9714286,0.4857143,1,18.99406,1.051176,0.0003124024,0.1175723,0,0.3844932,13,0.9116619,0.1555556,1.033115,6.702002,0.0003177629,0.0003177629,1.028868,1,1,6.627255,2.815995,1,0.6222222,1.015933,0.7315965,3.84911,0.2684035,0,0.945027,0.1333333,0.0321875,2.038835,8.797927,1.312731
