"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"CHIRO",0.0001505231,1,1,1,0.4651163,1.259902,0,0.5533981,0.08009709,0.5582524,7,0.4514563,0,1.256868,5.103448,0,0,1.220053,0,0,3.122663,0.03341612,0.9199029,0.09090909,0.002333108,0.02589827,1.290284,0.9741017,0,2.640777,0,0,0,3.802998,0.745182
"CIDO",1.013062,0.4823529,0.2117647,0.9058824,330.9083,1.1108,0.01444055,0.1515686,0.003023813,0.6802318,38,1.076981,0.7399651,1.107599,14.86492,3.149805e-05,0.0001889883,1.087959,6,1,7.814144,1.384413,0.9985826,1.055846,1.267667,0.5555402,2.492012,0.4444598,0.1176471,1.7357,0.1849913,0.2333114,2.160446,95.78455,6.443666
"CIO",1.2,0.9166667,0.4166667,1,2.533333,1.023256,0,0,0,0.9318182,7,1.5,0.3529412,0.9777778,4.444444,0.2272727,3.295455,1,145,10,2.444444,2.288889,1,0.7058824,0.9333333,0.7006803,3.266667,0.2993197,0,0.06818182,0,0,0,4.444444,1
"CKDO",0.1142857,1,1,1,0,1.025735,0,0.8566308,1,1,7,0.1433692,0,0.9964286,3.919811,0,0,1,0,0,4.102941,0,0,0,0.9714286,0,0.9964286,1,0,0,0,0,0,3.919811,1
"CLYH",0.9962406,1,0.8,1,4.981203,1.394737,0,0.1908397,0,0.9351145,6,0.8091603,0,0.9962406,2.409091,0.007633588,0.01908397,1,5,2,5.76087,2.172932,1,0.4666667,0.7105263,0.6856465,3.169173,0.3143535,0,0.06870229,0,0,0,2.409091,1
"CMDO",0.994709,1,0.8571429,1,2.984127,1.005319,0.7989418,1,0,1,8,0,0,1,4.28125,0,0,1,0,0,5.558824,0.3492063,1,0.3333333,0.994709,0.2588235,1.349206,0.7411765,0,0,0,0.005319149,2,4.419355,1.032258
"CMO",1.000751,1,0.5714286,1,1.999499,1.229322,0.0002504383,0.08679053,0,0.4288623,15,0.9368796,0,1.194841,8.027998,0,0.001781624,1.16966,7,0,2.541822,0.01477586,1,0.4545455,1.168795,0.01221532,1.209617,0.9877847,0,1.031815,0,0.1853707,2.063514,29.67628,3.696597
"CMPO",1.056511,0.5283019,0.7358491,1,24.92875,1.394541,0,0.01599016,0,0.4538745,14,1.078721,0.5421687,1.380835,7.101988,0.002460025,0.004920049,1.321229,4,2,2.464912,1.379607,1.305043,0.5060241,1.371007,0.4997775,2.760442,0.5002225,0,1.265683,0,0.3296433,2.160448,22.95251,3.231844
"COB",1.28,1,0.9285714,1,18.73333,1.102941,0,0.7222222,0,1,5,0.4722222,0.07317073,1,2.666667,0.01388889,0.02777778,1.018868,2,1,3.409091,1.506667,1,0.6829268,1,0.6010638,2.506667,0.3989362,0,0,0,0.01351351,2,2.716981,1.018868
"COPDO",0.9814815,1,0.875,1,0,1.038835,0,0.9906542,0,1,5,0.009345794,0,0.9907407,3.065789,0,0.009345794,1,1,0,3.34375,0,1,0.125,1,0,0.9907407,1,0,0,0,0.009345794,2,3.065789,1
